"id","game_id","timestamp","player_count","on_sale","discount_percent","original_price","final_price","estimated_owners","id","name"
"167","1245620","1744671716","29050","false","0","5999","5999","20,000,000 .. 50,000,000","1245620","Elden Ring"
"168","1151340","1744671716","8431","false","0","3999","3999","5,000,000 .. 10,000,000","1151340","Fallout 76"
"169","2933620","1744671717","0","false","0","6999","6999","0 .. 20,000","2933620","Call of Duty: Black Ops 6"
"170","1144200","1744671718","6852","true","50","4999","2499","2,000,000 .. 5,000,000","1144200","Ready or Not"
"171","1449850","1744671718","12675","false","0","","","0 .. 20,000","1449850","Yu-Gi-Oh! Master Duel"
"172","281990","1744671718","10617","false","0","3999","3999","2,000,000 .. 5,000,000","281990","Stellaris"
"173","2379780","1744671719","19158","true","10","1499","1349","2,000,000 .. 5,000,000","2379780","Balatro"
"174","39210","1744671720","22599","false","0","1999","1999","2,000,000 .. 5,000,000","39210","FINAL FANTASY XIV Online"
"175","730","1744675559","643913","false","0","","","100,000,000 .. 200,000,000","730","Counter-Strike 2"
"176","570","1744675559","267797","false","0","","","200,000,000 .. 500,000,000","570","Dota 2"
"177","440","1744675560","43233","false","0","","","20,000,000 .. 50,000,000","440","Team Fortress 2"
"178","578080","1744675560","78813","false","0","","","50,000,000 .. 100,000,000","578080","PUBG"
"179","1172470","1744675561","72459","false","0","","","50,000,000 .. 100,000,000","1172470","Apex Legends"
"180","2767030","1744675561","203743","false","0","","","0 .. 20,000","2767030","Marvel Rivals"
"181","3240220","1744675562","25457","false","0","2999","2999","0 .. 20,000","3240220","Grand Theft Auto V"
"182","250900","1744675563","15398","false","0","1499","1499","10,000,000 .. 20,000,000","250900","Binding of Isaac: Rebirth"
"183","3164500","1744675564","240655","false","0","1999","1999","0 .. 20,000","3164500","Schedule I"
"184","1174180","1744675564","29130","true","75","5999","1499","10,000,000 .. 20,000,000","1174180","Red Dead Redemption 2"
"185","2495100","1744675565","1878","true","20","3999","3199","0 .. 20,000","2495100","Hello Kitty Island Adventure"
"186","1245620","1744675565","28563","false","0","5999","5999","20,000,000 .. 50,000,000","1245620","Elden Ring"
"187","1151340","1744675566","8761","false","0","3999","3999","5,000,000 .. 10,000,000","1151340","Fallout 76"
"188","2933620","1744675566","0","false","0","6999","6999","0 .. 20,000","2933620","Call of Duty: Black Ops 6"
"189","1144200","1744675567","7040","true","50","4999","2499","2,000,000 .. 5,000,000","1144200","Ready or Not"
"190","1449850","1744675567","12343","false","0","","","0 .. 20,000","1449850","Yu-Gi-Oh! Master Duel"
"191","281990","1744675568","10246","false","0","3999","3999","2,000,000 .. 5,000,000","281990","Stellaris"
"192","2379780","1744675569","19092","true","10","1499","1349","2,000,000 .. 5,000,000","2379780","Balatro"
"193","39210","1744675569","23623","false","0","1999","1999","2,000,000 .. 5,000,000","39210","FINAL FANTASY XIV Online"
"194","730","1744678836","625941","false","0","","","100,000,000 .. 200,000,000","730","Counter-Strike 2"
"195","570","1744678836","261125","false","0","","","200,000,000 .. 500,000,000","570","Dota 2"
"196","440","1744678837","44329","false","0","","","20,000,000 .. 50,000,000","440","Team Fortress 2"
"197","578080","1744678838","89782","false","0","","","50,000,000 .. 100,000,000","578080","PUBG"
"198","1172470","1744678838","74266","false","0","","","50,000,000 .. 100,000,000","1172470","Apex Legends"
"199","2767030","1744678839","221283","false","0","","","0 .. 20,000","2767030","Marvel Rivals"
"200","3240220","1744678840","26826","false","0","2999","2999","0 .. 20,000","3240220","Grand Theft Auto V"
"201","250900","1744678841","15486","false","0","1499","1499","10,000,000 .. 20,000,000","250900","Binding of Isaac: Rebirth"
